Numero_OL,Dia_Ocorrencia,Dia_Abertura,Status,Responsavel,Tipo_Projeto,Produto,Lote,Ensaio,Protocolo/Metodo,Parametro,Nome_Sequencia,Diretorio,Tipo_de_Erro,Ocorrencia,Avaliação,Classificação,Causa_Raiz,Criticidade,Data_atualização,Atualizado_Por,Status_Final
2025_OL_0033,15/01/2025,16/01/2025,Finalizado,Ana Júlia Gomes,Sumário de Validação,Produto_19,BAN9bc,N_211,Protocolo_14,Precisão,SEQ_121,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Sobrecarga de Trabalho,Média,17/01/2025,Marcelo Fernandes,Aprovado
2025_OL_0034,15/01/2025,17/01/2025,Finalizado,Maria Luiza Sá,Estabilidade,Produto_19,BAN95a,N_325,Protocolo_67,Linearidade,SEQ_92,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Outros,Média,22/01/2025,Ana Lívia Vasconcelos,Aprovado
2025_OL_0035,15/01/2025,18/01/2025,Finalizado,Marcela Caldeira,Fotoestabilidade,Produto_8,BAN8de,N_247,Protocolo_57,Exatidão,SEQ_128,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,27/01/2025,Miguel Castro,Aprovado
2025_OL_0036,16/01/2025,16/01/2025,Finalizado,Dr. Nathan das Neves,Estabilidade,Produto_15,BAN9a0,N_274,Protocolo_93,Robustez,SEQ_38,Banco/Teor/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Documentação,Sobrecarga de Trabalho,Média,16/01/2025,Sophia Ferreira,Aprovado
2025_OL_0037,16/01/2025,19/01/2025,Finalizado,Ana Liz Duarte,Sumário de Validação,Produto_9,BAN827,N_309,Protocolo_22,Exatidão,SEQ_17,Banco/Degradação/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Procedimento ou Método Inadequado,Média,19/01/2025,Davi Montenegro,Aprovado
2025_OL_0038,17/01/2025,20/01/2025,Finalizado,Alexandre da Rosa,Estabilidade,Produto_24,BAN89e,N_311,Protocolo_26,Robustez,SEQ_86,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Alta,25/01/2025,Dra. Maya Montenegro,Aprovado
2025_OL_0039,18/01/2025,19/01/2025,Finalizado,Ravi Mendonça,Solventes Residuais,Produto_4,BAN81e,N_315,Protocolo_85,Linearidade,SEQ_8,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Falta de Revisão ou Checagem,Média,22/01/2025,Felipe da Mota,Aprovado
2025_OL_0040,18/01/2025,22/01/2025,Finalizado,Isabela Novais,Estabilidade,Produto_9,BAN83c,N_348,Protocolo_69,Exatidão,SEQ_53,Banco/Degradação/Sequencias,Material,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Sobrecarga de Trabalho,Média,31/01/2025,Francisco Mendes,Reprovado
2025_OL_0041,18/01/2025,18/01/2025,Finalizado,Maria Julia Araújo,Sumário de Validação,Produto_24,BAN93c,N_222,Protocolo_56,Estabilidade Bancada,SEQ_120,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Falta de Treinamento Adequado,Média,18/01/2025,Kaique da Rosa,Reprovado
2025_OL_0042,19/01/2025,22/01/2025,Finalizado,Alexandre Macedo,Solicitação de Analise,Produto_4,BAN92e,N_218,Protocolo_53,Robustez,SEQ_7,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Procedimento ou Método Inadequado,Média,25/01/2025,Alícia Moura,Reprovado
2025_OL_0043,19/01/2025,21/01/2025,Finalizado,Isabel Borges,Estabilidade,Produto_15,BAN87a,N_279,Protocolo_98,Robustez,SEQ_5,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Procedimento ou Método Inadequado,Média,27/01/2025,Sra. Ester da Rocha,Aprovado
2025_OL_0044,19/01/2025,19/01/2025,Finalizado,Aylla Fogaça,Liberação,Produto_3,BAN82d,N_346,Protocolo_63,Exatidão,SEQ_47,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,27/01/2025,Luísa Novais,Aprovado
2025_OL_0045,19/01/2025,22/01/2025,Finalizado,Mariane Moura,Solventes Residuais,Produto_18,BAN8c9,N_262,Protocolo_12,Robustez,SEQ_12,Banco/Teor/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Revisão ou Checagem,Média,30/01/2025,Isadora Moraes,Aprovado
2025_OL_0046,20/01/2025,22/01/2025,Finalizado,Gael Henrique Montenegro,Outros,Produto_23,BAN9ba,N_305,Protocolo_56,Exatidão,SEQ_20,Banco/Estabilidade/Sequencias,Metodologia,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,26/01/2025,Lara Alves,Aprovado
2025_OL_0047,22/01/2025,23/01/2025,Finalizado,Luiz Henrique Rodrigues,Estabilidade,Produto_3,BAN885,N_202,Protocolo_96,Linearidade,SEQ_88,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Equipamento,Falta de Revisão ou Checagem,Alta,24/01/2025,Marcos Vinicius Silveira,Aprovado
2025_OL_0048,22/01/2025,25/01/2025,Finalizado,Sra. Ana Vitória Vasconcelos,Sumário de Validação,Produto_4,BAN860,N_253,Protocolo_36,Robustez,SEQ_66,Banco/Substancias/Sequencias,Material,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Erro Isolado,Média,30/01/2025,Davi Lima,Aprovado
2025_OL_0049,22/01/2025,26/01/2025,Finalizado,João Vitor Marques,Transferencia Analítica,Produto_21,BAN84d,N_327,Protocolo_80,Degradação Forçada,SEQ_7,Banco/Teor/Sequencias,Máquina,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,04/02/2025,Daniela Cavalcante,Aprovado
2025_OL_0050,22/01/2025,23/01/2025,Finalizado,Cauã Alves,Fotoestabilidade,Produto_23,BAN946,N_216,Protocolo_39,Linearidade,SEQ_86,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Equipamento,Erro Isolado,Média,30/01/2025,Sra. Melissa Azevedo,Aprovado
2025_OL_0051,23/01/2025,25/01/2025,Finalizado,Eduardo Mendes,Liberação,Produto_22,BAN8bf,N_337,Protocolo_97,Exatidão,SEQ_109,Banco/Substancias/Sequencias,Material,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,25/01/2025,Maria Liz da Costa,Aprovado
2025_OL_0052,23/01/2025,25/01/2025,Finalizado,Ryan Brito,Estabilidade,Produto_13,BAN7d9,N_202,Protocolo_68,Linearidade,SEQ_111,Banco/Teor/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Sobrecarga de Trabalho,Média,26/01/2025,Manuella Fernandes,Aprovado
2025_OL_0053,24/01/2025,24/01/2025,Finalizado,João Sá,Transferencia Analítica,Produto_13,BAN893,N_338,Protocolo_63,Linearidade,SEQ_52,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,29/01/2025,Hellena Garcia,Reprovado
2025_OL_0054,24/01/2025,26/01/2025,Finalizado,Anthony Brito,Solicitação de Analise,Produto_24,BAN8bd,N_256,Protocolo_2,Exatidão,SEQ_140,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Sobrecarga de Trabalho,Média,29/01/2025,Murilo Dias,Aprovado
2025_OL_0055,25/01/2025,27/01/2025,Finalizado,Elisa Ramos,Sumário de Validação,Produto_8,BAN923,N_241,Protocolo_97,Exatidão,SEQ_19,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Baixa,04/02/2025,Bruna Nunes,Aprovado
2025_OL_0056,25/01/2025,26/01/2025,Finalizado,Anthony Vargas,Solicitação de Analise,Produto_6,BAN7e5,N_332,Protocolo_49,Robustez,SEQ_129,Banco/Estabilidade/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Falta de Treinamento Adequado,Média,04/02/2025,Jade Duarte,Aprovado
2025_OL_0057,26/01/2025,26/01/2025,Finalizado,Lavínia Farias,Estabilidade,Produto_4,BAN948,N_235,Protocolo_66,Linearidade,SEQ_70,Banco/Substancias/Sequencias,Meio Ambiente,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Baixa,31/01/2025,Srta. Maria Helena da Luz,Aprovado
2025_OL_0058,26/01/2025,27/01/2025,Finalizado,Luan Mendes,Solventes Residuais,Produto_16,BAN929,N_256,Protocolo_88,Linearidade,SEQ_82,Banco/Degradação/Sequencias,Material,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Sobrecarga de Trabalho,Média,06/02/2025,Ana Liz Melo,Aprovado
2025_OL_0059,26/01/2025,29/01/2025,Finalizado,Théo Cassiano,Sumário de Validação,Produto_21,BAN856,N_276,Protocolo_58,Linearidade,SEQ_123,Banco/Estabilidade/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,02/02/2025,Caroline Alves,Aprovado
2025_OL_0060,27/01/2025,27/01/2025,Finalizado,Heitor Farias,Estabilidade,Produto_6,BAN9a6,N_329,Protocolo_17,Exatidão,SEQ_145,Banco/Degradação/Sequencias,Meio Ambiente,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Sobrecarga de Trabalho,Baixa,30/01/2025,Ana Vitória Santos,Aprovado
2025_OL_0061,27/01/2025,30/01/2025,Finalizado,Calebe da Rosa,Sumário de Validação,Produto_21,BAN802,N_302,Protocolo_5,Exatidão,SEQ_111,Banco/Estabilidade/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Procedimento ou Método Inadequado,Média,01/02/2025,Maria Júlia Aparecida,Aprovado
2025_OL_0062,27/01/2025,27/01/2025,Finalizado,Henry Ramos,Estabilidade,Produto_12,BAN8f5,N_259,Protocolo_2,Linearidade,SEQ_25,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Procedimento ou Método Inadequado,Média,30/01/2025,Ana Beatriz Fogaça,Aprovado
2025_OL_0063,28/01/2025,30/01/2025,Finalizado,Srta. Ana Cecília Mendonça,Solventes Residuais,Produto_5,BAN7f3,N_240,Protocolo_65,Exatidão,SEQ_123,Banco/Solventes Residuais/Sequencias,Máquina,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Sobrecarga de Trabalho,Média,03/02/2025,Laura Marques,Aprovado
2025_OL_0064,28/01/2025,28/01/2025,Finalizado,Leonardo Monteiro,Liberação,Produto_19,BAN8af,N_202,Protocolo_12,Linearidade,SEQ_114,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Sobrecarga de Trabalho,Média,06/02/2025,Srta. Ayla Macedo,Aprovado
2025_OL_0065,28/01/2025,28/01/2025,Finalizado,Srta. Ana Luiza Aparecida,Liberação,Produto_17,BAN827,N_268,Protocolo_14,Estabilidade Bancada,SEQ_137,Banco/Substancias/Sequencias,Máquina,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Média,29/01/2025,Heloísa Cirino,Aprovado
2025_OL_0066,29/01/2025,31/01/2025,Finalizado,Mirella Santos,Outros,Produto_4,BAN942,N_220,Protocolo_54,Robustez,SEQ_144,Banco/Estabilidade/Sequencias,Meio Ambiente,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,04/02/2025,Bryan Pastor,Aprovado
2025_OL_0067,30/01/2025,01/02/2025,Finalizado,Srta. Clarice da Paz,Liberação,Produto_8,BAN9bc,N_239,Protocolo_71,Linearidade,SEQ_84,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,01/02/2025,Dr. Dante Moreira,Aprovado
2025_OL_0068,30/01/2025,31/01/2025,Finalizado,Ana Lívia Silva,Liberação,Produto_5,BAN7e0,N_235,Protocolo_17,Linearidade,SEQ_53,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Revisão ou Checagem,Média,08/02/2025,Ian Pinto,Aprovado
2025_OL_0069,30/01/2025,01/02/2025,Finalizado,João Vitor Garcia,Sumário de Validação,Produto_19,BAN987,N_276,Protocolo_46,Robustez,SEQ_137,Banco/Substancias/Sequencias,Máquina,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Procedimento ou Método Inadequado,Média,09/02/2025,Dra. Agatha Ferreira,Aprovado
2025_OL_0070,30/01/2025,01/02/2025,Finalizado,Cauã Alves,Transferencia Analítica,Produto_17,BAN8eb,N_330,Protocolo_39,Linearidade,SEQ_144,Banco/Substancias/Sequencias,Máquina,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,05/02/2025,Ana Carolina da Rosa,Aprovado
2025_OL_0071,31/01/2025,01/02/2025,Finalizado,Ana Laura Garcia,Outros,Produto_10,BAN836,N_349,Protocolo_44,Precisão,SEQ_52,Banco/Degradação/Sequencias,Meio Ambiente,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,03/02/2025,Dr. Luiz Fernando Machado,Aprovado
2025_OL_0072,01/02/2025,02/02/2025,Finalizado,Emanuelly Andrade,Outros,Produto_7,BAN816,N_343,Protocolo_6,Linearidade,SEQ_42,Banco/Degradação/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Equipamento,Sobrecarga de Trabalho,Média,10/02/2025,João Miguel Mendonça,Aprovado
2025_OL_0073,01/02/2025,01/02/2025,Finalizado,Davi Miguel Nogueira,Solventes Residuais,Produto_10,BAN885,N_329,Protocolo_16,Precisão,SEQ_16,Banco/Substancias/Sequencias,Máquina,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Falta de Treinamento Adequado,Média,04/02/2025,Luiz Gustavo Silveira,Aprovado
2025_OL_0074,01/02/2025,04/02/2025,Finalizado,Pedro da Cunha,Outros,Produto_18,BAN7fd,N_299,Protocolo_30,Linearidade,SEQ_55,Banco/Estabilidade/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Falta de Treinamento Adequado,Média,11/02/2025,Maitê Guerra,Aprovado
